14;TBL;Tampa Bay Lightning
10;TOR;Toronto Maple Leafs
53;ARI;Arizona Coyotes
26;LAK;Los Angeles Kings
1;NJD;New Jersey Devils
6;BOS;Boston Bruins
3;NYR;New York Rangers
12;CAR;Carolina Hurricanes
9;OTT;Ottawa Senators
21;COL;Colorado Avalanche
13;FLA;Florida Panthers
4;PHI;Philadelphia Flyers
22;EDM;Edmonton Oilers
5;PIT;Pittsburgh Penguins
18;NSH;Nashville Predators
20;CGY;Calgary Flames
16;CHI;Chicago Blackhawks
23;VAN;Vancouver Canucks
29;CBJ;Columbus Blue Jackets
2;NYI;New York Islanders
24;ANA;Anaheim Ducks
8;MTL;Montréal Canadiens
7;BUF;Buffalo Sabres
25;DAL;Dallas Stars
54;VGK;Vegas Golden Knights
30;MIN;Minnesota Wild
28;SJS;San Jose Sharks
52;WPG;Winnipeg Jets
19;STL;St. Louis Blues
15;WSH;Washington Capitals
17;DET;Detroit Red Wings
